序号,参试材料编号,干旱处理时期,鉴定时间,抗旱指数,抗旱指数评价的抗旱性,平均隶属函数值/灰色关联系数,隶属函数值/关联系数评价的抗旱性,抗旱性综合评价,抗旱系数,产量干旱,产量对照,株高干旱cm,株高对照cm,分枝数干旱,分枝数对照,主花序长干旱cm,主花序长对照cm,主花序有效角果数干旱,主花序有效角果数对照,全株有效角果数干旱,全株有效角果数对照,主茎角果密度个/cm干旱,主茎角果密度个/cm对照,角粒数干旱,角粒数对照,千粒重干旱g,千粒重对照g,主根长处理cm,主根长对照cm,侧根数处理,侧根数对照,植株总鲜重处理g,植株总鲜重对照g,根鲜重处理g,根鲜重对照g,地上部分鲜重处理g,地上部分鲜重对照g,根冠比处理,根冠比对照,备注
436,12XS282-3-3,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,,,0.58 ,MR,,,149.90 ,,79.00 ,100.00 ,5.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
437,12XS242-5-3,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.00 ,HS,0.54 ,MR,S,0.00 ,,224.40 ,110.00 ,95.00 ,6.00 ,10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
438,12XS247-9-3,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,1.78 ,HR,0.76 ,HR,HR,0.73 ,237.90 ,327.00 ,110.00 ,120.00 ,8.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
439,12XS256-4-2,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.54 ,HS,0.59 ,R,S,0.44 ,119.80 ,274.20 ,109.00 ,125.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
440,12XS256-5-3,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.00 ,HS,0.48 ,S,HS,0.00 ,,244.00 ,107.00 ,115.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
441,12XS256-8-1,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.14 ,HS,0.44 ,S,HS,0.20 ,66.60 ,333.80 ,97.00 ,135.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
442,12XS256-9-1,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.12 ,HS,0.40 ,HS,HS,0.21 ,55.20 ,257.00 ,92.00 ,115.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
443,12XS265-2-1,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.06 ,HS,0.50 ,S,HS,0.12 ,51.90 ,449.70 ,100.00 ,115.00 ,7.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
444,12XS265-4-3,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.10 ,HS,0.48 ,S,HS,0.19 ,50.20 ,266.80 ,108.00 ,140.00 ,6.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
445,12XS265-5-1,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.90 ,MR,0.53 ,MR,MR,0.52 ,169.00 ,327.90 ,100.00 ,115.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
446,12XF161,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.27 ,HS,0.52 ,MR,S,0.27 ,96.80 ,362.00 ,110.00 ,100.00 ,7.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
447,12NF214-2,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,1.80 ,HR,0.68 ,HR,HR,0.71 ,246.30 ,347.40 ,110.00 ,120.00 ,7.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
448,11XF304-2,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.00 ,HS,0.24 ,HS,HS,0.00 ,,186.40 ,88.00 ,100.00 ,3.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
449,2012DF041,薹花期降雨量7.7mm 大田鉴定，薹花期不灌溉,2012.9-2013.4,0.71 ,S,0.48 ,S,S,0.57 ,121.10 ,214.20 ,100.00 ,127.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
450,094530-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.42 ,HS,0.49 ,S,HS,0.98 ,41.70 ,42.50 ,95.00 ,54.00 ,9.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
451,094531-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.83 ,HR,0.59 ,R,HR,1.28 ,138.60 ,108.00 ,100.00 ,70.00 ,8.50 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
452,094532-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.40 ,HS,0.42 ,HS,HS,0.63 ,61.60 ,97.40 ,95.00 ,86.00 ,7.50 ,3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
453,094535-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.24 ,HS,0.39 ,HS,HS,0.40 ,57.70 ,143.40 ,100.00 ,108.00 ,7.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
454,094536-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.28 ,HS,0.42 ,HS,HS,0.39 ,70.80 ,181.30 ,100.00 ,119.00 ,7.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
455,094538-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.49 ,HS,0.56 ,R,S,0.42 ,112.80 ,266.00 ,105.00 ,130.00 ,9.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
456,094543-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.08 ,R,0.51 ,MR,R,0.72 ,146.60 ,204.40 ,100.00 ,116.00 ,7.50 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
457,094546-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.99 ,MR,0.62 ,HR,R,0.51 ,189.90 ,374.80 ,110.00 ,132.00 ,8.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
458,094547-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,,,0.51 ,MR,,,208.30 ,,105.00 ,138.00 ,6.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
459,094553-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.13 ,HR,0.63 ,HR,HR,0.77 ,268.40 ,347.70 ,120.00 ,128.00 ,7.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
460,094565-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,8.38 ,HR,0.84 ,HR,HR,2.95 ,275.90 ,93.60 ,120.00 ,120.00 ,10.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
461,094573-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.72 ,HR,0.96 ,HR,HR,0.77 ,342.90 ,445.00 ,125.00 ,117.00 ,10.50 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
462,094576-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,3.53 ,HR,0.70 ,HR,HR,1.04 ,331.50 ,320.20 ,120.00 ,143.00 ,6.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
463,094577-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.23 ,HR,0.43 ,HS,MR,0.62 ,192.40 ,309.10 ,105.00 ,122.00 ,4.33 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
464,094582-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.68 ,S,0.51 ,MR,S,0.52 ,125.80 ,240.30 ,95.00 ,112.00 ,8.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
465,094589-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.40 ,HS,0.24 ,HS,HS,0.38 ,102.30 ,270.20 ,75.00 ,116.00 ,3.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
466,094599,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.26 ,HS,0.31 ,HS,HS,0.26 ,97.30 ,377.90 ,85.00 ,146.00 ,6.50 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
467,12XS242-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.30 ,HR,0.40 ,HS,MR,1.98 ,112.70 ,56.90 ,85.00 ,105.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
468,12XS242-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.72 ,HR,0.33 ,HS,MR,2.60 ,101.40 ,39.00 ,90.00 ,110.00 ,6.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
469,12XS242-3-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.94 ,HR,0.53 ,MR,R,1.39 ,205.10 ,147.40 ,100.00 ,136.00 ,7.00 ,14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
470,12XS247-1-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.85 ,MR,0.51 ,MR,MR,0.44 ,188.70 ,430.20 ,95.00 ,97.00 ,8.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
471,12XS247-2-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.11 ,HR,0.61 ,HR,HR,0.95 ,216.00 ,227.80 ,95.00 ,96.00 ,9.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
472,12XS247-4-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.72 ,HR,0.57 ,R,HR,0.83 ,201.30 ,243.10 ,100.00 ,102.00 ,8.00 ,11.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
473,12XS247-5-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.40 ,HR,0.44 ,HS,MR,0.73 ,187.80 ,258.80 ,100.00 ,107.00 ,6.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
474,12XS247-7-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.73 ,S,0.43 ,HS,S,0.46 ,153.80 ,331.50 ,90.00 ,112.00 ,6.50 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
475,12XS265-1-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.41 ,HS,0.43 ,HS,HS,0.33 ,120.60 ,361.10 ,95.00 ,153.00 ,7.50 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
476,12XS265-3-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.39 ,HR,0.54 ,MR,R,1.00 ,232.60 ,233.50 ,90.00 ,150.00 ,7.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
477,12XS265-8-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.51 ,HS,0.21 ,HS,HS,0.70 ,71.00 ,101.40 ,90.00 ,146.00 ,4.67 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
478,12XS274-1-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.46 ,HS,0.38 ,HS,HS,0.35 ,128.30 ,366.90 ,85.00 ,112.00 ,6.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
479,12XS274-2-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.05 ,HS,0.19 ,HS,HS,0.13 ,39.60 ,294.00 ,80.00 ,143.00 ,4.67 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
480,12XS274-4-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.04 ,HS,0.28 ,HS,HS,0.10 ,40.10 ,418.00 ,85.00 ,136.00 ,6.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
481,12XS274-5-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.03 ,HS,0.37 ,HS,HS,0.11 ,25.90 ,243.70 ,90.00 ,120.00 ,7.50 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
482,12XS274-6-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.04 ,HS,0.36 ,HS,HS,0.12 ,35.30 ,303.20 ,80.00 ,122.00 ,7.50 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
483,12XS274-7-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.07 ,HS,0.36 ,HS,HS,0.15 ,46.60 ,316.00 ,95.00 ,121.00 ,5.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
484,12XS274-8-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.05 ,HS,0.37 ,HS,HS,0.15 ,35.30 ,238.90 ,95.00 ,117.00 ,6.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
485,花油3号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.25 ,HS,0.55 ,R,MR,0.25 ,98.80 ,397.30 ,110.00 ,120.00 ,7.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
486,花油5号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.16 ,HS,0.65 ,HR,MR,0.21 ,77.00 ,374.10 ,130.00 ,140.00 ,10.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
487,花油6号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.55 ,HS,0.54 ,MR,S,0.39 ,136.50 ,350.50 ,115.00 ,146.00 ,5.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
488,花油7号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.83 ,HR,0.60 ,HR,HR,0.85 ,209.30 ,247.00 ,105.00 ,168.00 ,7.50 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
489,花油8号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.81 ,MR,0.59 ,R,MR,0.39 ,202.00 ,516.00 ,110.00 ,162.00 ,8.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
490,花油9号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.57 ,HS,0.45 ,S,HS,0.41 ,134.60 ,329.70 ,105.00 ,156.00 ,4.33 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
491,云油杂2号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.24 ,HS,0.49 ,S,HS,0.25 ,93.90 ,382.70 ,105.00 ,162.00 ,6.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
492,云油杂10号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.52 ,HS,0.56 ,R,S,0.41 ,123.70 ,302.40 ,105.00 ,162.00 ,7.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
493,云油双1号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.00 ,HS,0.46 ,S,S,0.00 ,,273.80 ,105.00 ,132.00 ,6.50 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
494,云油双2号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.85 ,HR,0.58 ,R,HR,1.35 ,204.60 ,151.20 ,95.00 ,118.00 ,8.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
495,早熟1号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.09 ,R,0.41 ,HS,S,0.61 ,174.00 ,286.60 ,80.00 ,120.00 ,6.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
496,云花油23号,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.58 ,HS,0.24 ,HS,HS,0.52 ,109.90 ,213.00 ,80.00 ,138.00 ,5.33 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
497,094581-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.36 ,HS,0.23 ,HS,HS,0.40 ,87.80 ,217.70 ,70.00 ,112.00 ,5.50 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
498,094560-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.48 ,HR,0.27 ,HS,MR,1.94 ,73.90 ,38.10 ,80.00 ,92.00 ,6.50 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
499,094564-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.97 ,MR,0.28 ,HS,S,1.18 ,79.90 ,67.90 ,85.00 ,114.00 ,6.67 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
500,12XS242-5-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.85 ,MR,0.27 ,HS,S,0.68 ,121.40 ,179.00 ,85.00 ,108.00 ,5.33 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
501,12XS247-6,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.72 ,S,0.32 ,HS,S,0.45 ,154.50 ,342.70 ,85.00 ,136.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
502,12XS247-3-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.83 ,HR,0.44 ,HS,S,1.61 ,170.40 ,105.60 ,85.00 ,124.00 ,7.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
503,12XS242-4-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.00 ,HS,0.41 ,HS,HS,0.00 ,,296.50 ,95.00 ,124.00 ,7.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
504,12XS247-6-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.37 ,HS,0.34 ,HS,HS,0.41 ,86.50 ,209.00 ,100.00 ,152.00 ,6.50 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
505,12XS247-8-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.54 ,HS,0.41 ,HS,HS,0.40 ,132.10 ,330.70 ,105.00 ,126.00 ,6.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
506,12XS256-6-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.67 ,HR,0.53 ,MR,R,0.57 ,285.00 ,500.00 ,100.00 ,156.00 ,5.33 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
507,12XS256-7-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.70 ,S,0.43 ,HS,S,0.44 ,154.70 ,354.00 ,100.00 ,160.00 ,6.00 ,4.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
508,12XS256-1-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.35 ,HR,0.51 ,MR,R,0.58 ,228.10 ,396.50 ,95.00 ,163.00 ,5.50 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
509,12XS256-2-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.16 ,R,0.45 ,S,MR,0.54 ,209.10 ,389.40 ,80.00 ,133.00 ,7.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
510,12XS256-3-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.23 ,HS,0.40 ,HS,HS,0.24 ,92.30 ,388.70 ,80.00 ,146.00 ,7.00 ,8.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
511,12XS265-7-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.57 ,HS,0.28 ,HS,HS,0.47 ,116.80 ,246.00 ,80.00 ,123.00 ,4.00 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
512,12XS265-9-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.00 ,HS,0.36 ,HS,HS,0.00 ,,242.80 ,105.00 ,125.00 ,7.00 ,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
513,12XS274-3-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,3.49 ,HR,0.51 ,MR,R,1.11 ,304.50 ,273.70 ,104.00 ,120.00 ,3.30 ,10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
514,12XS282-1-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.60 ,HR,0.53 ,MR,R,0.66 ,233.90 ,352.90 ,105.00 ,140.00 ,5.50 ,15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
515,12XS282-2-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,2.33 ,HR,0.53 ,MR,R,1.04 ,217.20 ,208.40 ,110.00 ,115.00 ,6.00 ,11.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
516,12XS282-3-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,,,0.43 ,HS,,,112.40 ,,115.00 ,100.00 ,5.50 ,9.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
517,12XS242-5-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,3.05 ,HR,,,,1.15 ,257.60 ,224.40 ,110.00 ,95.00 ,5.00 ,10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
518,12XS247-9-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.60 ,S,,,,0.42 ,138.10 ,327.00 ,87.00 ,120.00 ,3.30 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
519,12XS256-4-2,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.00 ,R,0.28 ,HS,S,0.60 ,163.30 ,274.20 ,90.00 ,125.00 ,3.30 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
520,12XS256-5-3,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.91 ,HR,0.42 ,HS,S,0.87 ,212.90 ,244.00 ,95.00 ,115.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
521,12XS256-8-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.91 ,MR,0.43 ,HS,S,0.51 ,171.40 ,333.80 ,97.00 ,135.00 ,5.00 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
522,12XS256-9-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,1.05 ,R,0.45 ,S,MR,0.63 ,162.20 ,257.00 ,92.00 ,115.00 ,6.50 ,7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
523,12XS265-2-1,角果期降雨量7.0mm 大田鉴定，角果期不灌溉,2012.9-2013.4,0.00 ,HS,0.28 ,HS,HS,0.00 ,,449.70 ,90.00 ,115.00 ,5.00 ,6.00 ,,,,,,,,,,,,,,,,,,,,,,,,,产量为单株产量g，隶属函数法鉴定
